recruit_id,height_in,SC,SH,ID,OD,PS,BH,RB,ST,AG,ND,IQ,FT,CH,recruit_rt_PG,recruit_rt_SG,recruit_rt_SF,recruit_rt_PF,recruit_rt_C,player_rt_PG,player_rt_SG,player_rt_SF,player_rt_PF,player_rt_C,delta_PG,delta_SG,delta_SF,delta_PF,delta_C,recruit_argmax_position,recruit_top1_rt,player_argmax_position,player_top1_rt
1379d006-d848-4a95-9541-a9425135132a,71,20,38,4,14,6,22,8,9,5,69,64,19,78,28,26,15,11,10,28,26,15,12,6,0,0,0,1,-4,PG,28,PG,28
14f0b1cb-5ff0-43c6-bc29-5e1ff4d2557c,73,16,9,26,40,25,15,38,18,40,12,14,11,43,21,22,25,25,21,21,22,25,25,15,0,0,0,0,-6,SF,25,SF,25
15630bf1-debe-4b9d-a75c-0b75713d3d21,71,34,9,3,29,24,3,2,27,21,11,36,3,90,19,20,21,13,15,19,20,21,12,10,0,0,0,-1,-5,SF,21,SF,21
164e400b-101b-42f0-84b1-f6914cce8ea8,73,36,26,51,15,33,2,25,46,4,39,6,16,59,11,21,26,34,37,11,21,26,33,24,0,0,0,-1,-13,C,37,PF,33
16a8567b-0c70-4fcb-8c27-0d48dc8b1d43,78,59,16,47,17,9,34,39,75,37,36,24,17,95,25,23,44,54,56,25,23,44,51,63,0,0,0,-3,7,C,56,C,63
18879347-fce0-4a17-a5a5-80460eec1ea0,68,38,14,19,10,1,22,8,25,28,33,12,40,58,16,17,24,19,25,16,17,24,17,14,0,0,0,-2,-11,C,25,SF,24
1c72618c-1b57-4d2d-87ff-66348b99cf66,74,11,17,1,28,37,3,24,26,27,19,2,6,1,14,20,19,19,11,14,20,19,18,9,0,0,0,-1,-2,SG,20,SG,20
1cfcf8c8-e0f1-4961-84b2-643134792628,69,26,48,33,36,33,29,32,35,25,2,4,32,98,25,37,31,32,31,25,37,31,29,19,0,0,0,-3,-12,SG,37,SG,37
1d493d0c-f2e5-4beb-bc70-8cda6efaa8e2,68,5,37,24,6,23,34,18,37,12,31,28,36,91,26,22,23,26,18,26,22,23,24,13,0,0,0,-2,-5,PG,26,PG,26
1dcb2e02-da9e-4c21-857d-fa38f668d627,71,19,3,15,7,8,6,4,7,2,2,4,3,37,5,6,7,7,12,5,6,7,7,7,0,0,0,0,-5,C,12,SF,7
1ee346d6-baea-4136-902f-a079beea3bbd,68,30,70,9,6,32,33,36,26,44,40,28,35,88,32,42,32,28,23,32,42,32,27,15,0,0,0,-1,-8,SG,42,SG,42
20dca201-40e1-429d-bae5-2bab4e114f28,66,40,19,73,50,28,28,5,23,21,3,28,27,46,29,30,32,26,44,29,30,32,24,21,0,0,0,-2,-23,C,44,SF,32
225ef399-7465-47ce-99bb-464adccf1ff5,69,18,49,54,39,14,13,26,24,14,37,11,24,94,18,35,27,28,33,18,35,27,27,18,0,0,0,-1,-15,SG,35,SG,35
22fd2922-a9ae-441f-8c92-3e068d2feb8e,70,11,10,6,4,16,6,15,15,5,4,18,4,41,10,8,9,13,10,10,8,9,11,7,0,0,0,-2,-3,PF,13,PF,11
2458efc1-5572-4fd2-8c35-7720c5189ed6,66,33,32,34,56,22,44,7,27,19,30,16,35,53,31,36,30,21,29,31,36,30,20,15,0,0,0,-1,-14,SG,36,SG,36
2478deea-0690-425c-986c-b6684d1ddd99,69,19,67,52,29,27,36,4,7,10,11,34,32,15,32,42,24,16,26,32,42,24,18,12,0,0,0,2,-14,SG,42,SG,42
25bea462-9ab1-49dc-9464-a4c1c65f9bfe,72,23,16,34,12,31,30,18,55,20,36,21,28,56,24,18,30,33,28,24,18,30,31,19,0,0,0,-2,-9,PF,33,PF,31
25f93519-aa49-43d0-8529-9423f8078e88,69,16,37,9,36,30,26,13,5,6,10,4,2,49,19,28,13,9,11,19,28,13,9,6,0,0,0,0,-5,SG,28,SG,28
276c7855-5198-4bca-b4d5-8df4e0a0b868,76,33,29,33,31,22,10,25,23,28,8,23,1,97,19,28,27,30,30,19,28,27,30,27,0,0,0,0,-3,PF,30,PF,30
2a1482a7-1e65-484e-a5af-ca61f6242eb6,66,18,9,4,7,9,3,19,3,17,3,7,6,56,7,10,9,10,11,7,10,9,9,7,0,0,0,-1,-4,C,11,SG,10
2acfa3f4-1beb-4693-89f3-89b4a51da919,66,5,72,3,38,20,23,20,35,6,31,40,42,99,30,44,26,24,11,30,44,26,23,9,0,0,0,-1,-2,SG,44,SG,44
2b6add22-08a6-42f3-a109-45d287e8898a,67,23,10,37,25,32,30,8,39,15,23,4,6,22,20,16,24,24,28,20,16,24,20,16,0,0,0,-4,-12,C,28,SF,24
2b6bf9ed-3baf-4d93-b5e5-68398ef3a54e,68,27,6,28,38,36,17,16,16,23,18,31,4,39,25,20,21,18,24,25,20,21,16,13,0,0,0,-2,-11,PG,25,PG,25
2cc4da11-8fd2-4729-b4ee-ecb3e9a88d74,67,3,48,9,6,31,5,4,32,29,9,32,28,38,21,28,25,17,10,21,28,25,16,7,0,0,0,-1,-3,SG,28,SG,28
2e944a47-9354-4387-bdce-68ad3c43bcf5,69,3,9,29,12,29,10,10,33,17,25,6,33,10,14,12,20,22,18,14,12,20,18,11,0,0,0,-4,-7,PF,22,SF,20
306947bb-79a2-44c9-9e56-9581c78f105f,68,18,36,1,1,24,19,14,20,4,10,9,5,76,14,19,12,14,12,14,19,12,13,8,0,0,0,-1,-4,SG,19,SG,19
31303b5e-3ad2-4151-afc8-ec21bd69014d,74,18,29,22,37,2,6,31,11,27,77,47,11,70,22,28,23,22,18,22,28,23,23,12,0,0,0,1,-6,SG,28,SG,28
3143a4b9-fc79-4552-8596-0e1ccbc10e1a,77,13,57,30,28,17,33,16,62,26,22,13,39,91,26,37,37,39,30,26,37,37,38,38,0,0,0,-1,8,PF,39,PF,38
326dd8ae-2205-4fee-b016-089d1c7a386f,74,16,11,25,17,26,13,9,72,11,36,40,5,50,21,15,30,34,24,21,15,30,31,18,0,0,0,-3,-6,PF,34,PF,31
335225ff-0bfb-4792-b6da-19c9b778c13e,74,18,4,51,40,28,30,38,42,45,15,11,33,52,26,22,35,37,33,26,22,35,35,22,0,0,0,-2,-11,PF,37,SF,35
336b4ae0-5841-41bb-b5c9-dfdf344ee6ed,70,13,18,19,14,5,11,6,13,15,19,18,5,83,13,15,15,11,14,13,15,15,11,8,0,0,0,0,-6,SG,15,SG,15
34f21e9f-069b-438b-b64f-c099812c71af,72,32,26,49,3,28,17,32,29,34,21,10,14,16,18,20,28,31,33,18,20,28,31,21,0,0,0,0,-12,C,33,PF,31
35b088db-9198-42f9-bc4d-c99afa54d125,71,5,5,20,4,5,2,20,9,9,12,1,5,9,3,5,8,12,12,3,5,8,12,8,0,0,0,0,-4,PF,12,PF,12
36961232-5b74-4507-a9eb-d289320d2b00,71,2,24,35,10,14,26,29,57,33,18,28,39,62,24,20,33,34,24,24,20,33,33,18,0,0,0,-1,-6,PF,34,SF,33
36bdc7d1-bbd0-42b2-983f-d93a830065f0,69,16,23,27,20,30,24,20,48,12,24,34,26,28,26,22,27,32,25,26,22,27,27,17,0,0,0,-5,-8,PF,32,SF,27
382dff98-8640-45ab-a58c-ea0f757926ba,70,13,14,12,15,12,10,16,9,6,1,10,8,64,10,13,10,12,12,10,13,10,11,8,0,0,0,-1,-4,SG,13,SG,13
38585a50-f603-43c7-98d6-d87ebda952ee,71,20,22,24,13,25,21,14,14,23,10,15,18,17,19,19,19,15,17,19,19,19,15,11,0,0,0,0,-6,PG,19,PG,19
39208c0f-4c52-43c7-b3ab-347b908020b1,71,13,33,39,17,25,16,19,17,40,10,18,24,93,22,26,27,19,21,22,26,27,20,13,0,0,0,1,-8,SF,27,SF,27
394dce1d-5442-4272-b750-de5add182bad,76,26,55,34,20,26,59,47,41,26,11,20,40,29,36,36,33,43,34,36,36,33,44,32,0,0,0,1,-2,PF,43,PF,44
3b52be7c-bc9a-4ca4-a5ed-0f6b87b2a394,71,29,48,30,52,39,40,29,3,24,14,17,9,98,33,41,24,17,22,33,41,24,19,14,0,0,0,2,-8,SG,41,SG,41
3c3b880f-8b52-443c-b93b-4f7954931eab,69,64,1,20,3,18,34,13,7,24,8,26,22,58,23,13,19,16,32,23,13,19,14,16,0,0,0,-2,-16,C,32,PG,23
3ce5afa8-d6e4-4e58-a0f5-ac384fc9c3d8,72,15,20,36,9,4,39,33,31,27,35,14,28,70,22,17,25,30,25,22,17,25,29,17,0,0,0,-1,-8,PF,30,PF,29
3d8cabce-03ff-4f4d-a023-4b3bca3efb44,73,26,40,33,38,38,28,3,30,23,20,32,20,89,31,35,30,21,23,31,35,30,22,14,0,0,0,1,-9,SG,35,SG,35
3dfa3deb-7d71-4a3e-aedd-24253b31a859,69,8,9,12,8,19,6,15,12,12,2,6,13,46,9,10,11,13,11,9,10,11,11,7,0,0,0,-2,-4,PF,13,SF,11
3e1f844a-ae5f-40b5-a3fa-5ebe46014630,75,36,33,15,27,18,27,45,41,18,7,9,12,3,20,27,27,33,28,20,27,27,33,21,0,0,0,0,-7,PF,33,PF,33
3fed1e69-e995-4afb-872b-be4fe41a24a3,71,26,5,27,29,20,28,29,40,26,35,39,9,78,27,18,28,28,26,27,18,28,27,18,0,0,0,-1,-8,SF,28,SF,28
40dc6ea7-11fc-43bf-ad86-4fb290b31a20,74,36,32,28,18,33,10,32,35,13,16,34,28,85,23,27,26,32,29,23,27,26,32,20,0,0,0,0,-9,PF,32,PF,32
41493dcb-62e2-4c17-96f9-12ddd6926721,70,30,30,10,17,1,34,24,79,47,35,23,30,57,26,27,43,42,29,26,27,43,34,21,0,0,0,-8,-8,SF,43,SF,43
41c339a3-06b5-46ef-a5ca-8a93afd58771,68,8,15,29,49,5,11,18,40,58,24,12,15,38,19,26,36,26,22,19,26,36,22,14,0,0,0,-4,-8,SF,36,SF,36
4281dc23-246b-4a4d-8995-22948f3f2d74,68,14,19,9,20,5,3,9,9,8,19,6,15,3,8,16,12,9,11,8,16,12,9,6,0,0,0,0,-5,SG,16,SG,16
42fe2984-a157-46fa-886d-1d853ad1b6ee,77,30,22,73,47,34,72,79,63,36,53,48,32,6,50,33,46,67,57,50,33,46,64,57,0,0,0,-3,0,PF,67,PF,64
43a87da6-80b6-4aa9-a9b9-9cfe8c1b575a,67,4,49,3,40,12,10,19,3,31,38,33,24,51,24,37,21,11,6,24,37,21,12,4,0,0,0,1,-2,SG,37,SG,37
43b0e433-cf99-44cd-a324-f874798fe486,66,6,78,33,31,33,24,7,3,40,9,35,3,86,32,47,27,11,15,32,47,27,14,7,0,0,0,3,-8,SG,47,SG,47
443f7a9c-20ba-4e9d-aba9-75e7574647e4,69,19,9,1,1,5,16,5,3,12,20,8,18,20,10,9,8,5,8,10,9,8,5,4,0,0,0,0,-4,PG,10,PG,10
4598c249-0359-4d83-8bb4-ec63d8f10063,72,38,22,10,18,21,13,39,26,3,18,21,7,27,16,20,17,27,24,16,20,17,27,17,0,0,0,0,-7,PF,27,PF,27
460d6667-9c3d-4b0a-9bcb-7fc30a6b7363,71,19,20,21,18,20,33,33,26,26,10,26,13,41,25,20,23,24,21,25,20,23,23,15,0,0,0,-1,-6,PG,25,PG,25
467697a8-230a-4e3c-b112-6d577b50e02d,70,33,2,28,54,4,14,21,16,57,11,20,27,100,22,26,32,21,27,22,26,32,19,15,0,0,0,-2,-12,SF,32,SF,32
46c7bbaa-6112-4279-a6bc-0424274caea5,76,18,44,40,46,19,23,33,18,55,27,57,32,50,38,42,38,34,28,38,42,38,35,26,0,0,0,1,-2,SG,42,SG,42
474e860c-ea56-4cd0-8c8f-1392d78b899c,73,40,27,19,18,29,5,8,29,21,19,34,15,41,20,25,25,21,23,20,25,25,21,14,0,0,0,0,-9,SG,25,SG,25
47dbad11-b916-4b2c-8dfb-1a403f1a2ac3,71,30,13,35,31,35,19,39,9,14,39,15,19,86,21,21,18,23,27,21,21,18,23,17,0,0,0,0,-10,C,27,PF,23
47e45ef9-5949-41b4-8c09-941983f01bca,68,14,10,12,13,12,20,7,9,10,9,16,20,75,16,12,11,10,11,16,12,11,9,6,0,0,0,-1,-5,PG,16,PG,16
489ede3f-812b-4a5a-a2b9-0f54e4f4074d,72,8,21,17,28,11,22,9,40,31,34,20,15,91,21,22,27,22,15,21,22,27,21,11,0,0,0,-1,-4,SF,27,SF,27
4918bf20-900e-4429-b781-5474b857b930,67,14,30,75,39,3,18,22,54,10,40,32,28,55,22,27,35,42,43,22,27,35,37,25,0,0,0,-5,-18,C,43,PF,37
4942ce88-1f04-4208-855f-8cda93843799,69,24,11,30,33,2,21,40,20,38,10,29,4,37,22,21,26,28,28,22,21,26,25,17,0,0,0,-3,-11,PF,28,SF,26
4a05d9a5-ffa6-4651-bc2e-6537757ba126,68,15,14,10,4,10,2,16,9,6,18,7,5,87,6,10,9,12,12,6,10,9,11,8,0,0,0,-1,-4,PF,12,PF,11
4a1744d9-a9bc-4da8-b387-1d7092d8a3fb,68,3,5,13,4,14,18,7,1,5,18,20,4,11,14,6,5,6,7,14,6,5,6,4,0,0,0,0,-3,PG,14,PG,14
4a641126-5718-47fe-a321-207696381eb9,74,22,41,40,34,30,26,45,43,10,43,26,11,95,26,31,29,38,32,26,31,29,38,22,0,0,0,0,-10,PF,38,PF,38
4af6c96c-ca28-469f-aa83-cd26610fe233,73,19,19,6,11,17,13,14,20,18,13,16,8,3,15,16,16,16,13,15,16,16,16,9,0,0,0,0,-4,SG,16,SG,16
4b2cefe1-ec02-44ce-b2fc-6e233e0b2c37,68,30,50,12,12,11,26,25,28,11,40,48,81,44,30,34,27,28,23,30,34,27,27,14,0,0,0,-1,-9,SG,34,SG,34
4b410f09-1373-4e46-82bc-d0bf492011a1,67,5,44,10,46,16,20,17,33,39,37,31,25,14,28,37,31,22,13,28,37,31,20,10,0,0,0,-2,-3,SG,37,SG,37
4d548c56-dcc9-4861-a3e8-96d0a7f45ae1,75,24,27,45,53,2,37,38,12,17,37,34,1,43,28,30,24,27,28,28,30,24,28,18,0,0,0,1,-10,SG,30,SG,30
4d6e1317-fb7d-42e7-913a-f10ce0069915,70,30,26,6,23,39,23,15,35,1,40,11,30,17,21,23,20,22,20,21,23,20,19,13,0,0,0,-3,-7,SG,23,SG,23
4e101b36-2e1e-4fd6-8464-6b4a29329726,73,11,25,3,6,38,14,21,34,4,20,3,27,80,14,16,16,22,12,14,16,16,21,10,0,0,0,-1,-2,PF,22,PF,21
4e42827b-8aa2-4303-ba82-c7ecf24a0f47,74,13,46,51,83,17,24,46,62,42,46,29,37,1,34,49,49,46,35,34,49,49,46,26,0,0,0,0,-9,SG,49,SG,49
4ec4addd-7424-40a1-a08b-d9ba895b8b1b,72,2,33,32,79,32,24,36,28,74,2,39,28,31,40,46,43,30,20,40,46,43,30,15,0,0,0,0,-5,SG,46,SG,46
52b089ef-c03b-439b-ad7f-e7028175b340,75,43,29,75,34,10,32,19,32,4,26,22,17,38,23,27,29,33,43,23,27,29,33,25,0,0,0,0,-18,C,43,PF,33
52d6f268-a264-4238-a99c-651b119ced00,75,38,78,10,39,17,30,34,9,30,9,29,24,97,31,51,29,21,21,31,51,29,25,14,0,0,0,4,-7,SG,51,SG,51
52e6b044-81a8-4545-b4db-c43d4be8fef0,68,17,61,15,5,28,24,24,7,13,1,26,41,43,25,33,18,17,16,25,33,18,18,9,0,0,0,1,-7,SG,33,SG,33
53d622b8-e9c4-41a4-a99d-51f7f337289e,71,19,26,56,56,32,34,27,59,66,10,19,18,29,34,36,49,37,35,34,36,49,35,24,0,0,0,-2,-11,SF,49,SF,49
547e5f7a-8b26-436a-ad25-9d6dc38958f8,72,7,12,39,23,5,2,27,32,38,4,30,8,59,16,17,27,28,23,16,17,27,27,16,0,0,0,-1,-7,PF,28,SF,27
54f4d0f4-37c8-4a8a-af1a-244e6a161e53,73,20,16,17,11,19,2,7,2,6,20,4,2,72,7,13,9,9,12,7,13,9,10,7,0,0,0,1,-5,SG,13,SG,13
55cad3dd-cab0-4357-9911-5f056b015af0,72,21,28,16,33,32,25,21,28,18,40,9,37,18,23,27,24,23,18,23,27,24,23,13,0,0,0,0,-5,SG,27,SG,27
567db0ea-9aa1-46ec-b3d3-e4404169028b,72,31,42,9,27,22,28,40,27,29,17,4,34,92,22,33,27,27,22,22,33,27,28,16,0,0,0,1,-6,SG,33,SG,33
57e029c3-7ff5-4155-9aa2-735300a4fd6d,71,5,4,18,7,16,8,12,17,20,6,7,10,96,10,7,14,12,11,10,7,14,12,8,0,0,0,0,-3,SF,14,SF,14
587779d2-7106-42f1-a584-4bda28863e44,69,22,9,7,17,27,23,39,36,3,4,30,3,40,21,13,17,30,21,21,13,17,25,16,0,0,0,-5,-5,PF,30,PF,25
5a41c37f-2291-41e2-8c6e-93b988a27e60,69,10,26,7,37,4,30,10,36,24,21,18,26,50,23,25,25,20,13,23,25,25,17,9,0,0,0,-3,-4,SG,25,SG,25
5b8405ff-c433-43a7-9f19-e5d82f919f20,77,7,27,78,11,32,14,20,69,36,3,20,19,33,21,21,41,48,44,21,21,41,46,46,0,0,0,-2,2,PF,48,PF,46
5bb96021-c572-4901-a821-06fc57f3a38f,69,19,67,27,53,18,38,17,16,15,22,38,11,72,34,47,27,19,21,34,47,27,20,12,0,0,0,1,-9,SG,47,SG,47
5bef1375-4b3a-4ad4-a220-b109660b19fa,68,4,5,14,20,4,28,2,4,24,1,3,35,43,16,12,13,6,7,16,12,13,6,4,0,0,0,0,-3,PG,16,PG,16
5c242a70-14b0-49cb-836f-b893a4d25983,70,51,26,23,44,33,11,35,3,56,34,6,17,35,22,35,30,20,32,22,35,30,20,17,0,0,0,0,-15,SG,35,SG,35
5da7f6b1-fdf0-48c9-9fe5-ef7c97b21311,73,47,60,33,7,27,29,36,28,43,6,4,28,45,23,38,34,31,34,23,38,34,32,22,0,0,0,1,-12,SG,38,SG,38
5f19988e-1aeb-4053-a744-3854cab2b39c,69,28,9,22,48,70,66,21,9,39,2,32,12,31,48,28,25,17,22,48,28,25,16,12,0,0,0,-1,-10,PG,48,PG,48
5f592bbc-2fbc-4472-b8da-2e12f96f1a83,70,17,15,18,11,12,16,18,19,16,17,18,12,19,15,14,16,18,18,15,14,16,16,11,0,0,0,-2,-7,PF,18,SF,16
60288ab4-4adc-4851-897e-0b1f4b23dab3,74,6,41,26,51,12,16,34,5,32,27,26,14,100,24,36,24,20,15,24,36,24,22,11,0,0,0,2,-4,SG,36,SG,36
61209aef-29d7-4990-9791-d427baca424e,71,24,41,22,17,19,16,39,9,32,38,36,7,6,24,29,23,21,21,24,29,23,23,14,0,0,0,2,-7,SG,29,SG,29
6133fdd6-7c8c-4656-9045-e4149bc78e81,76,44,39,77,35,28,29,47,50,33,12,33,23,56,31,36,43,53,53,31,36,43,53,43,0,0,0,0,-10,PF,53,PF,53
61461c69-efe8-44bb-8087-8bafc6edadf6,75,59,71,69,73,31,23,67,69,78,45,61,46,21,48,67,69,62,59,48,67,69,62,40,0,0,0,0,-19,SF,69,SF,69
61610075-f359-4d34-8c15-4f939fa503e1,75,18,31,41,20,14,21,13,52,22,26,33,28,25,24,25,33,32,27,24,25,33,31,19,0,0,0,-1,-8,SF,33,SF,33
6186d422-bdf4-42fe-97ef-0639097babcf,75,60,37,51,8,25,25,23,20,36,18,39,33,60,29,31,33,30,40,29,31,33,30,23,0,0,0,0,-17,C,40,SF,33
61f495cb-c6fb-4d50-9450-f332382be6b6,68,27,31,19,42,30,26,36,19,44,16,23,35,92,30,34,31,26,24,30,34,31,24,15,0,0,0,-2,-9,SG,34,SG,34
6249ef5a-7f12-4c52-be44-fc46851263c0,69,50,33,10,12,9,28,3,23,24,20,17,24,40,20,26,24,15,25,20,26,24,14,13,0,0,0,-1,-12,SG,26,SG,26
62f34319-4b9a-4757-8429-7eb16a484c32,66,12,23,14,30,38,52,29,25,17,53,17,22,25,32,23,20,24,17,32,23,20,21,12,0,0,0,-3,-5,PG,32,PG,32
636ba47f-a15d-4e0e-816b-6d3b074045ab,74,15,75,14,15,33,23,37,18,28,40,9,19,32,23,41,25,23,17,23,41,25,26,13,0,0,0,3,-4,SG,41,SG,41
63e953a4-924b-4a65-aaa7-4bfbe7e7b97d,69,23,36,1,41,33,9,28,6,31,34,18,7,14,22,33,21,14,14,22,33,21,14,9,0,0,0,0,-5,SG,33,SG,33
644f473a-520a-45c6-a949-2510e02603ba,66,36,30,2,13,37,23,34,14,31,23,48,29,44,32,28,23,23,20,32,28,23,21,13,0,0,0,-2,-7,PG,32,PG,32
647f472f-2bb1-4f20-986d-36f75c1df8cd,78,27,14,55,50,25,10,18,36,58,32,27,41,50,27,31,41,37,40,27,31,41,36,50,0,0,0,-1,10,SF,41,C,50
648e898c-20c7-43b5-a267-31f78401361c,70,29,70,11,44,23,32,27,14,8,37,25,14,14,29,46,23,19,20,29,46,23,20,12,0,0,0,1,-8,SG,46,SG,46
64a8e294-4a5d-4b7e-b3e0-8b9ceb1b1fc5,66,17,38,41,24,42,30,17,19,29,27,50,36,15,37,32,28,24,26,37,32,28,23,14,0,0,0,-1,-12,PG,37,PG,37
64cc4866-29d5-4a2e-bb7c-cf5c2dc34abe,72,9,64,31,17,17,28,37,39,31,4,19,53,45,26,38,33,34,23,26,38,33,35,17,0,0,0,1,-6,SG,38,SG,38
6660e74e-1ce1-4edd-a94f-14a923d295b9,73,40,26,5,32,39,12,13,40,53,20,38,28,61,30,33,37,24,21,30,33,37,24,15,0,0,0,0,-6,SF,37,SF,37
6750a787-678e-4981-b4b3-4a17cdadcfb3,73,22,62,27,17,40,12,7,26,15,15,32,29,97,25,38,26,21,20,25,38,26,22,12,0,0,0,1,-8,SG,38,SG,38
697fa3e6-130d-4a58-92ca-d3632ac1b6ff,71,33,37,3,20,33,37,19,29,41,17,11,19,43,28,30,28,18,18,28,30,28,18,13,0,0,0,0,-5,SG,30,SG,30
698360aa-63da-4297-917f-dba81837e3d3,70,6,56,28,9,33,15,28,5,32,38,24,54,24,25,34,23,20,17,25,34,23,21,10,0,0,0,1,-7,SG,34,SG,34
6a821085-1178-4e46-a982-a54c315f50dc,77,26,3,26,11,3,1,30,22,22,11,27,29,3,12,12,20,31,28,12,12,20,30,36,0,0,0,-1,8,PF,31,C,36
6aa23136-c9ef-432a-8e9b-1c1861d30186,70,18,23,31,79,4,36,31,28,21,20,38,21,77,33,36,30,29,26,33,36,30,26,16,0,0,0,-3,-10,SG,36,SG,36
6c372f67-4475-4e1e-a9f0-0fe29ec39668,75,6,48,25,34,28,26,11,29,21,9,40,32,16,32,35,27,22,15,32,35,27,23,11,0,0,0,1,-4,SG,35,SG,35
6c886343-bd50-4a7e-b14e-092a83fa2637,71,16,5,4,17,11,3,17,6,6,5,5,11,14,7,10,8,9,9,7,10,8,9,6,0,0,0,0,-3,SG,10,SG,10
6cca5426-7515-4f3f-842a-2edc59c35eb2,68,14,11,19,22,29,23,30,16,13,29,18,25,55,21,16,16,22,18,21,16,16,19,12,0,0,0,-3,-6,PF,22,PG,21
6d333b1f-1796-4c75-8668-ce1e54aa9c35,75,35,36,40,24,3,15,35,10,36,2,25,3,43,19,29,26,25,29,19,29,26,26,18,0,0,0,1,-11,SG,29,SG,29
6e0cb571-09f4-4faa-a519-ae515be4bfe6,74,19,39,32,6,27,15,13,27,50,52,23,37,11,24,28,32,23,21,24,28,32,24,14,0,0,0,1,-7,SF,32,SF,32
