id	team	mascot	team_id	primary_color	secondary_color	conference	region	prestige
25	Amariabi International	Collective	AMARIABI_INTERNATIONAL	#65308e	#f2d045	4	B	549
26	Falls Academy	Sailors	FALLS_ACADEMY	#8d99ae	#2b2d42	4	B	503
27	Upstate	Wolverines	UPSTATE	#006847	#c0c0c0	4	B	409
28	St Peters	Titans	ST_PETERS	#3d348b	#f7b801	4	B	598
29	Empire City	Hawks	EMPIRE_CITY	#7c2b24	#f1c40f	4	B	555
30	Syracuse	Tigers	SYRACUSE	#2e3a46	#4fd1c5	4	B	542
31	Toronto Limited	Lions	TORONTO_LIMITED	#3b3b3b	#c0976a	4	B	524
32	Long Island Methodist	Comets	LONG_ISLAND_METHODIST	#005f73	#e9d8a6	4	B	474
33	Harding Central	Spartans	HARDING_CENTRAL	#111111	#d4af37	5	C	464
34	Upper Peninsula	Huskies	UPPER_PENINSULA	#6a1f2b	#f3e6d0	5	C	478
35	Mynsk	Cougars	MYNSK	#0b1f3a	#a9c6e8	5	C	332
36	Ann Arbor	Coyotes	ANN_ARBOR	#4066b2	#ffffff	5	C	528
37	Hardwood Fields	Rams	HARDWOOD_FIELDS	#1c2a44	#c8a951	5	C	497
38	Columbus	Beavers	COLUMBUS	#264653	#e76f51	5	C	384
39	North Columbus	Falcons	NORTH_COLUMBUS	#008b8f	#2a2a2a	5	C	462
40	Cleveland-Carlysle	Bobcats	CLEVELAND_CARLYSLE	#0f3d2e	#c5a642	5	C	468
41	Burroughs	Bears	BURROUGHS	#3d348b	#f7b801	6	C	542
42	Wacker West	Hitmen	WACKER_WEST	#9b1b30	#f2f2f2	6	C	541
43	Archbishop McClellan	Hawks	ARCHBISHOP_MCCLELLAN	#ff6f61	#1c1c1e	6	C	560
44	Sacred Heart	Leopards	SACRED_HEART	#2e3a46	#4fd1c5	6	C	471
45	Templeton-Wesley	Wolverines	TEMPLETON_WESLEY	#7c2b24	#f1c40f	6	C	529
46	Dillinger	Wolves	DILLINGER	#0b1f3a	#a9c6e8	6	C	463
47	Quigley Catholic	Knights	QUIGLEY_CATHOLIC	#2a2168	#f2d045	6	C	508
48	Evanston	Wildcats	EVANSTON	#6d6e71	#ffffff	6	C	552
49	Crimson County	Cowboys	CRIMSON_COUNTY	#1c2a44	#c8a951	7	D	654
50	Myrtle Private	Carriers	MYRTLE_PRIVATE	#111111	#d4af37	7	D	582
51	Washington Carver	Cougars	WASHINGTON_CARVER	#7c2b24	#f1c40f	7	D	463
52	Knoxville	Ninjas	KNOXVILLE	#6a1f2b	#f3e6d0	7	D	618
53	Biloxi	Diesel	BILOXI	#f4c300	#111111	7	D	508
54	Mobile	Red Wave	MOBILE	#9b1b30	#f2f2f2	7	D	575
55	Monroe-Hayes	Hawks	MONROE_HAYES	#264653	#e76f51	7	D	570
56	Lexington	Thunder	LEXINGTON	#8d99ae	#2b2d42	7	D	632
57	Keys High	Dolphins	KEYS_HIGH	#1f4fb2	#f2f2f2	8	D	539
58	Gainesville	Swamp Creatures	GAINESVILLE	#8d99ae	#2b2d42	8	D	581
59	Valdosta Valley	Falcons	VALDOSTA_VALLEY	#7c2b24	#f1c40f	8	D	517
60	DeLand	Lions	DELAND	#2e3a46	#4fd1c5	8	D	537
61	Grayson Ranch	Warriors	GRAYSON_RANCH	#2a2168	#f2d045	8	D	440
62	Reardon-Mayes	Golden Eagles	REARDON_MAYES	#f4c300	#111111	8	D	637
63	Dade Academy	Captains	DADE_ACADEMY	#6d6e71	#ffffff	8	D	576
64	Tallahassee	Ratsnakes	TALLAHASSEE	#006847	#c0c0c0	8	D	550
65	Hyde Methodist	Raiders	HYDE_METHODIST	#f4c300	#111111	9	E	452
66	Wash U Prep	Knights	WASH_U_PREP	#2a2168	#f2d045	9	E	565
67	Lawrence	Eagles	LAWRENCE	#6a1f2b	#f3e6d0	9	E	648
68	Ozark Centre	Devils	OZARK_CENTRE	#6d6e71	#ffffff	9	E	463
69	Fielding	Force	FIELDING	#006847	#c0c0c0	9	E	501
70	Iowa Academy	Capitals	IOWA_ACADEMY	#1f4fb2	#f2f2f2	9	E	622
71	Grupenberg	Generals	GRUPENBERG	#4066b2	#ffffff	9	E	435
72	Tri-Cities Prep	Sorcerers	TRI_CITIES_PREP	#7c2b24	#f1c40f	9	E	530
73	HA Rushmore	Saloon	HA_RUSHMORE	#2a2168	#f2d045	10	E	543
74	Rodeo Circuit	Clowns	RODEO_CIRCUIT	#d24a1b	#000000	10	E	453
75	Mt Simmons	Cobras	MT_SIMMONS	#1c2a44	#c8a951	10	E	528
76	Lewis Catholic	Saints	LEWIS_CATHOLIC	#0f3d2e	#c5a642	10	E	476
77	Crofton	Cardinals	CROFTON	#6d6e71	#ffffff	10	E	617
78	Minot	Engineers	MINOT	#ec1d28	#cccccc	10	E	421
79	Tower Academy	Royals	TOWER_ACADEMY	#1f4fb2	#f2f2f2	10	E	536
80	Two Rivers	Pointers	TWO_RIVERS	#4066b2	#ffffff	10	E	459
81	Norman	Tornados	NORMAN	#005f73	#e9d8a6	11	F	585
82	River's Edge	Catfish	RIVER_S_EDGE	#1c2a44	#c8a951	11	F	583
83	Amarillo Tech	Armadillos	AMARILLO_TECH	#6a1f2b	#f3e6d0	11	F	545
84	Pan Handle Limited	Steeds	PAN_HANDLE_LIMITED	#3b3b3b	#c0976a	11	F	471
85	Ada	Falcons	ADA	#264653	#e76f51	11	F	508
86	Kenton	Eagles	KENTON	#3d348b	#f7b801	11	F	522
87	Reyes-Santiago	Cacti	REYES_SANTIAGO	#4066b2	#ffffff	11	F	464
88	Stormwood	Tigers	STORMWOOD	#65308e	#f2d045	11	F	511
89	Houston Jesuit	Cowboys	HOUSTON_JESUIT	#7c2b24	#f1c40f	12	F	677
90	Austin	Wolves	AUSTIN	#6d6e71	#ffffff	12	F	535
91	GP Prep School	Elites	GP_PREP_SCHOOL	#2e3a46	#4fd1c5	12	F	460
92	MiddleTEX	Bucking Broncos	MIDDLETEX	#264653	#e76f51	12	F	505
93	Abilene	Scorpions	ABILENE	#0f3d2e	#c5a642	12	F	388
94	Chambless Global	Raiders	CHAMBLESS_GLOBAL	#65308e	#f2d045	12	F	628
95	Austin West	Defenders	AUSTIN_WEST	#ff6f61	#1c1c1e	12	F	516
96	Bayou District	Airboats	BAYOU_DISTRICT	#0b1f3a	#a9c6e8	12	F	582
97	Pike's Prep	Climbers	PIKE_S_PREP	#006847	#c0c0c0	13	G	545
98	Desert Regional	Mesas	DESERT_REGIONAL	#f4c300	#111111	13	G	518
99	East Rockies	Mountain Lions	EAST_ROCKIES	#2a2168	#f2d045	13	G	451
100	Circus Circus	Ringmasters	CIRCUS_CIRCUS	#ff6f61	#1c1c1e	13	G	496
101	Tucson	Rattlesnakes	TUCSON	#d24a1b	#000000	13	G	582
102	Barton Lutheran	Panthers	BARTON_LUTHERAN	#ec1d28	#cccccc	13	G	389
103	Border Academy	Swordsmen	BORDER_ACADEMY	#264653	#e76f51	13	G	502
104	Southwest Miner	Cowboys	SOUTHWEST_MINER	#1f4fb2	#f2f2f2	13	G	503
105	Rainier Central	Patrol	RAINIER_CENTRAL	#9b1b30	#f2f2f2	14	G	560
106	Salem	Woodchucks	SALEM	#1c2a44	#c8a951	14	G	485
107	Swoosh	Knights	SWOOSH	#005f73	#e9d8a6	14	G	568
108	Seattle AAA	Sound	SEATTLE_AAA	#006847	#c0c0c0	14	G	500
109	Vancouver	Bears	VANCOUVER	#d24a1b	#000000	14	G	495
110	Cardinal Conor	Monarchs	CARDINAL_CONOR	#3b3b3b	#c0976a	14	G	485
111	Couer d'Alene	Grizzlies	COUER_D_ALENE	#f4c300	#111111	14	G	525
112	Boise	Mountaineers	BOISE	#ff6f61	#1c1c1e	14	G	524
113	Valley High	Orcas	VALLEY_HIGH	#ec1d28	#cccccc	15	H	456
114	San Jose	Kings	SAN_JOSE	#264653	#e76f51	15	H	546
115	Rancho Estrada	Miners	RANCHO_ESTRADA	#006847	#c0c0c0	15	H	383
116	Berkley	Wasps	BERKLEY	#8d99ae	#2b2d42	15	H	519
117	Hollywood Prep	Cavalry	HOLLYWOOD_PREP	#6d6e71	#ffffff	15	H	556
118	DeCatur Dei	Pelicans	DECATUR_DEI	#1f4fb2	#f2f2f2	15	H	463
119	West Ocean City	Mariners	WEST_OCEAN_CITY	#ff6f61	#1c1c1e	15	H	470
120	Huntington Canyon	Rangers	HUNTINGTON_CANYON	#3d348b	#f7b801	15	H	529
121	Mahala Alou	Sharks	MAHALA_ALOU	#ec1d28	#cccccc	16	H	464
122	Pacific All-Stars	Squad	PACIFIC_ALL_STARS	#ff6f61	#1c1c1e	16	H	485
123	Juneau-Nome	Fishermen	JUNEAU_NOME	#2a2168	#f2d045	16	H	527
124	Redwood High	Owls	REDWOOD_HIGH	#d24a1b	#000000	16	H	529
125	Grizzly Academy	Patriots	GRIZZLY_ACADEMY	#2e3a46	#4fd1c5	16	H	425
126	Hana Road	Waterfalls	HANA_ROAD	#9b1b30	#f2f2f2	16	H	357
127	Cupertino	Diamondbacks	CUPERTINO	#0b1f3a	#a9c6e8	16	H	656
128	Melbourne Americas	Breakers	MELBOURNE_AMERICAS	#005f73	#e9d8a6	16	H	575
